texto,categoria_original,cluster
computador,tecnologia,1
sistema de computador,tecnologia,4
computador sistema,tecnologia,4
plataforma de computador,tecnologia,3
computador plataforma,tecnologia,3
framework de computador,tecnologia,1
computador framework,tecnologia,1
aplicação de computador,tecnologia,3
computador aplicação,tecnologia,3
desenvolvimento de computador,tecnologia,3
computador desenvolvimento,tecnologia,3
arquitetura de computador,tecnologia,3
computador arquitetura,tecnologia,3
computador e python,tecnologia,1
computador e inteligência,tecnologia,3
computador e api,tecnologia,1
computador e segurança,tecnologia,6
software,tecnologia,1
sistema de software,tecnologia,4
software sistema,tecnologia,4
plataforma de software,tecnologia,3
software plataforma,tecnologia,1
framework de software,tecnologia,1
software framework,tecnologia,1
aplicação de software,tecnologia,3
software aplicação,tecnologia,3
desenvolvimento de software,tecnologia,3
software desenvolvimento,tecnologia,3
arquitetura de software,tecnologia,1
software arquitetura,tecnologia,1
software e desenvolvimento,tecnologia,3
software e devops,tecnologia,1
software e rede,tecnologia,1
software e segurança,tecnologia,3
software e servidor,tecnologia,1
internet,tecnologia,1
sistema de internet,tecnologia,4
internet sistema,tecnologia,4
plataforma de internet,tecnologia,1
internet plataforma,tecnologia,1
framework de internet,tecnologia,1
internet framework,tecnologia,1
aplicação de internet,tecnologia,1
internet aplicação,tecnologia,1
desenvolvimento de internet,tecnologia,1
internet desenvolvimento,tecnologia,1
arquitetura de internet,tecnologia,1
internet arquitetura,tecnologia,1
internet e frontend,tecnologia,1
internet e código,tecnologia,1
internet e learning,tecnologia,1
internet e api,tecnologia,1
internet e database,tecnologia,1
programação,tecnologia,3
sistema de programação,tecnologia,3
programação sistema,tecnologia,4
plataforma de programação,tecnologia,3
programação plataforma,tecnologia,3
framework de programação,tecnologia,3
programação framework,tecnologia,1
aplicação de programação,tecnologia,3
programação aplicação,tecnologia,3
desenvolvimento de programação,tecnologia,3
programação desenvolvimento,tecnologia,3
arquitetura de programação,tecnologia,3
programação arquitetura,tecnologia,3
programação e python,tecnologia,3
programação e learning,tecnologia,3
programação e software,tecnologia,3
programação e algoritmo,tecnologia,3
programação e artificial,tecnologia,3
dados,tecnologia,5
sistema de dados,tecnologia,4
dados sistema,tecnologia,4
plataforma de dados,tecnologia,0
dados plataforma,tecnologia,0
framework de dados,tecnologia,1
dados framework,tecnologia,1
aplicação de dados,tecnologia,0
dados aplicação,tecnologia,0
desenvolvimento de dados,tecnologia,0
dados desenvolvimento,tecnologia,0
arquitetura de dados,tecnologia,0
dados arquitetura,tecnologia,0
dados e devops,tecnologia,1
dados e learning,tecnologia,6
dados e backend,tecnologia,1
dados e cloud,tecnologia,1
algoritmo,tecnologia,5
sistema de algoritmo,tecnologia,4
algoritmo sistema,tecnologia,4
plataforma de algoritmo,tecnologia,0
algoritmo plataforma,tecnologia,0
framework de algoritmo,tecnologia,1
algoritmo framework,tecnologia,1
aplicação de algoritmo,tecnologia,8
algoritmo aplicação,tecnologia,8
desenvolvimento de algoritmo,tecnologia,8
algoritmo desenvolvimento,tecnologia,8
arquitetura de algoritmo,tecnologia,0
algoritmo arquitetura,tecnologia,0
algoritmo e python,tecnologia,1
algoritmo e dados,tecnologia,0
algoritmo e machine,tecnologia,1
algoritmo e rede,tecnologia,6
algoritmo e programação,tecnologia,3
rede,tecnologia,1
sistema de rede,tecnologia,4
rede sistema,tecnologia,4
plataforma de rede,tecnologia,6
rede plataforma,tecnologia,5
framework de rede,tecnologia,1
rede framework,tecnologia,1
aplicação de rede,tecnologia,6
rede aplicação,tecnologia,6
desenvolvimento de rede,tecnologia,6
rede desenvolvimento,tecnologia,8
arquitetura de rede,tecnologia,6
rede arquitetura,tecnologia,2
rede e machine,tecnologia,1
rede e código,tecnologia,6
rede e api,tecnologia,1
rede e segurança,tecnologia,6
rede e desenvolvimento,tecnologia,6
inteligência,tecnologia,8
sistema de inteligência,tecnologia,4
inteligência sistema,tecnologia,4
plataforma de inteligência,tecnologia,8
inteligência plataforma,tecnologia,8
framework de inteligência,tecnologia,1
inteligência framework,tecnologia,1
aplicação de inteligência,tecnologia,8
inteligência aplicação,tecnologia,8
desenvolvimento de inteligência,tecnologia,8
inteligência desenvolvimento,tecnologia,8
arquitetura de inteligência,tecnologia,8
inteligência arquitetura,tecnologia,8
inteligência e learning,tecnologia,8
inteligência e dados,tecnologia,6
inteligência e frontend,tecnologia,1
inteligência e computador,tecnologia,3
inteligência e internet,tecnologia,1
artificial,tecnologia,5
sistema de artificial,tecnologia,4
artificial sistema,tecnologia,4
plataforma de artificial,tecnologia,3
artificial plataforma,tecnologia,5
framework de artificial,tecnologia,1
artificial framework,tecnologia,1
aplicação de artificial,tecnologia,3
artificial aplicação,tecnologia,5
desenvolvimento de artificial,tecnologia,3
artificial desenvolvimento,tecnologia,3
arquitetura de artificial,tecnologia,3
artificial arquitetura,tecnologia,5
artificial e servidor,tecnologia,1
artificial e inteligência,tecnologia,8
artificial e python,tecnologia,1
artificial e database,tecnologia,1
artificial e devops,tecnologia,1
machine,tecnologia,1
sistema de machine,tecnologia,4
machine sistema,tecnologia,4
plataforma de machine,tecnologia,1
machine plataforma,tecnologia,1
framework de machine,tecnologia,1
machine framework,tecnologia,1
aplicação de machine,tecnologia,3
machine aplicação,tecnologia,3
desenvolvimento de machine,tecnologia,3
machine desenvolvimento,tecnologia,3
arquitetura de machine,tecnologia,1
machine arquitetura,tecnologia,1
machine e artificial,tecnologia,1
machine e cloud,tecnologia,1
machine e programação,tecnologia,3
machine e inteligência,tecnologia,1
learning,tecnologia,1
sistema de learning,tecnologia,4
learning sistema,tecnologia,4
plataforma de learning,tecnologia,3
learning plataforma,tecnologia,1
framework de learning,tecnologia,1
learning framework,tecnologia,1
aplicação de learning,tecnologia,8
learning aplicação,tecnologia,8
desenvolvimento de learning,tecnologia,8
learning desenvolvimento,tecnologia,8
arquitetura de learning,tecnologia,2
learning arquitetura,tecnologia,1
learning e computador,tecnologia,1
learning e machine,tecnologia,1
learning e desenvolvimento,tecnologia,8
learning e backend,tecnologia,1
python,tecnologia,1
sistema de python,tecnologia,4
python sistema,tecnologia,4
plataforma de python,tecnologia,1
python plataforma,tecnologia,1
framework de python,tecnologia,1
python framework,tecnologia,1
aplicação de python,tecnologia,1
python aplicação,tecnologia,5
desenvolvimento de python,tecnologia,1
python desenvolvimento,tecnologia,3
arquitetura de python,tecnologia,1
python arquitetura,tecnologia,1
python e servidor,tecnologia,1
python e devops,tecnologia,1
python e frontend,tecnologia,1
python e cloud,tecnologia,1
python e learning,tecnologia,1
código,tecnologia,5
sistema de código,tecnologia,4
código sistema,tecnologia,4
plataforma de código,tecnologia,2
código plataforma,tecnologia,5
framework de código,tecnologia,1
código framework,tecnologia,1
aplicação de código,tecnologia,5
código aplicação,tecnologia,5
desenvolvimento de código,tecnologia,8
código desenvolvimento,tecnologia,8
arquitetura de código,tecnologia,2
código arquitetura,tecnologia,5
código e devops,tecnologia,1
código e desenvolvimento,tecnologia,8
código e servidor,tecnologia,1
código e api,tecnologia,1
código e frontend,tecnologia,1
desenvolvimento,tecnologia,8
sistema de desenvolvimento,tecnologia,8
desenvolvimento sistema,tecnologia,4
plataforma de desenvolvimento,tecnologia,8
desenvolvimento plataforma,tecnologia,8
framework de desenvolvimento,tecnologia,8
desenvolvimento framework,tecnologia,8
aplicação de desenvolvimento,tecnologia,8
desenvolvimento aplicação,tecnologia,8
desenvolvimento de desenvolvimento,tecnologia,8
desenvolvimento desenvolvimento,tecnologia,8
arquitetura de desenvolvimento,tecnologia,8
desenvolvimento arquitetura,tecnologia,8
desenvolvimento e software,tecnologia,3
desenvolvimento e frontend,tecnologia,8
desenvolvimento e database,tecnologia,8
desenvolvimento e python,tecnologia,3
desenvolvimento e artificial,tecnologia,8
cloud,tecnologia,1
sistema de cloud,tecnologia,4
cloud sistema,tecnologia,4
plataforma de cloud,tecnologia,1
cloud plataforma,tecnologia,1
framework de cloud,tecnologia,1
cloud framework,tecnologia,1
aplicação de cloud,tecnologia,1
cloud aplicação,tecnologia,1
desenvolvimento de cloud,tecnologia,1
cloud desenvolvimento,tecnologia,1
arquitetura de cloud,tecnologia,1
cloud arquitetura,tecnologia,1
